,Name,Unnamed: 0,MRN,Legal gender,DOB,Telephone,SSN,Doctors Name,patients_adress,Doctors Address,Health Plan Number,Date of Visit,Admission Type,Test Results,Billing Account Number,RN,Language spoken,Language written,Email,Marital status,symptoms,Contact Person Name,Date of Discharge
10,David Gilbert,10,6396329483,Male,1980-02-29,+1414-657-6951,702-66-8596,Kristen Cruz,"537 Wise Club Apt. 589 North Amyshire, AZ 61723","649 Susan Drive Antonioville, ID 30383",HPB-99614,2023-04-08,Urgent,Abnormal,#621446,Kathleen Santos,English,,David.Gilbert@dhl.com,Single,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Jeremiah Hahn (fiancee),2023-05-01
11,Kellie Montoya,11,4506543497,Female,1952-01-13,+1534-382-4029,952-62-4684,Douglas Smith,"023 Tanner Dale South Lukestad, MA 46482","7194 Sarah Coves Suite 975 Coreytown, OH 23039",HPB-79008,2020-03-07,Emergency,Abnormal,#297767,Megan Jimenez,English,,Kellie.Montoya@aol.com,Single,"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice",Jenna Brown (friend),2020-03-13
12,Geoffrey Cardenas,12,4714741555,Male,2024-01-13,+1912-232-4978,826-25-4822,Elizabeth Martin,"883 Adrian Underpass Suite 580 Gonzalezville, MH 65701","0151 West Valleys Apt. 558 East Oscarbury, WV 65365",HPB-80834,2025-06-09,Emergency,Abnormal,,Abigail Berg,English,,Geoffrey.Cardenas@yahoo.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Kelly Cardenas (father), David Cardenas (mother)",
13,Madison Farrell,13,6870825651,Female,1978-01-28,+1330-902-2294,932-51-8474,Christopher Ferguson,"66936 Richard Lights Suite 018 Alexton, OK 25895",USNS Alexander FPO AP 77977,HPB-32880,2019-12-05,Urgent,Normal,#400323,Lori Stevens,English,,Madison.Farrell@aol.com,Single,"Red, scaly patches on the skin, itching",Chad Adkins (girlfriend),2019-12-13
14,Hailey Bell,14,2030266458,Female,1958-07-05,+1808-376-6579,538-62-9408,Isaiah Gillespie,"3021 Jennifer Street Apt. 326 New Matthew, WV 68807","300 Wilson Ford New Curtisland, MT 30786",HPB-45765,2021-03-20,Emergency,Abnormal,#727826,Stephanie Garcia,English,,Hailey.Bell@brown.com,Single,"Frequent urination, Increased thirst, Weight loss",Christina Harris (friend),2021-04-01
15,Melissa Smith,15,4120352154,Female,1996-07-17,+1830-590-5730,807-81-1718,Anne Francis,"5876 Tony Pines Fisherfort, MN 24826","589 Tyler Common Davidview, NY 20829",HPB-75679,2020-12-14,Urgent,Abnormal,#145872,Nathan Weiss,English,,Melissa.Smith@aol.com,Single,"High fever, body aches, fatigue, cough, sore throat, congestion",Jennifer Ponce (girlfriend),2021-01-01
16,Douglas Berry,16,4469815869,Male,2002-06-19,+1213-895-6248,128-84-2470,Laura Jackson,"46703 Sarah Circles Suite 807 East Shelbyshire, NE 87739","83797 Maria Highway New Aaronport, WI 20458",HPB-77828,2023-05-07,Emergency,Inconclusive,#290130,Thomas Sharp,English,,Douglas.Berry@gmx.com,Single,"Gradual loss of vision, visual field defects",Karen Gallagher (friend),2023-05-16
17,Karen Watkins,17,1589517319,Female,2001-01-16,+1412-115-4386,358-59-1152,Valerie Parrish,"295 Derek Branch Suite 588 Mcmahonberg, AR 49496","583 Pacheco Cape Apt. 857 Thompsonborough, CA 51628",HPB-58599,2021-11-01,Elective,Inconclusive,#992229,Shawn Sherman,English,,Karen.Watkins@gmx.com,Married,"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance",Kyle Graves (friend),2021-11-25
18,Elizabeth Boyd,18,4707430524,Female,1977-01-13,+1956-120-7222,485-43-3100,John Beck,"36232 Jillian Branch Ryanburgh, IL 52828","3666 Boyle Turnpike Apt. 691 Port Kayla, AZ 92397",HPB-44194,2024-04-15,Elective,Inconclusive,#603943,David Beard,English,,Elizabeth.Boyd@yahoo.com,Single,"Fragile bones, loss of height over time, back pain, fractures",Kathryn Benton (fiancee),2024-05-09
19,Cody Acosta,19,9524829531,Male,1991-05-17,+1212-667-9701,309-88-4234,Matthew Allen,"9390 Anthony Rue Lake Javierstad, OK 74228",USCGC Bradley FPO AP 29199,HPB-61312,2022-04-13,Urgent,Normal,#589435,Mr. Kyle Lowe,English,,Cody.Acosta@gmx.com,Single,cough and fatigue,Michelle Richardson (girlfriend),2022-04-27
20,Marcus White,20,5193311379,Male,1943-01-29,+1267-210-6481,849-81-6357,Sarah Bartlett,"10736 Dunn Motorway Apt. 311 Port Tony, VI 58746","37206 Rodriguez Lights Suite 873 Johnshire, PA 46550",HPB-84100,2021-09-02,Urgent,Inconclusive,#812521,Timothy Vega,English,,Marcus.White@aol.com,Single,"fever, cough and fatigue",Timothy Jimenez (fiancee),2021-09-27
21,Karen Anderson,21,9300780269,Female,2025-04-21,+1831-241-9960,430-16-9539,Aaron Stout,"6005 Wood Mountains Apt. 009 New Davidside, KS 17453","10942 Richard Cliffs Suite 456 South Christopherbury, WI 12531",HPB-12265,2025-05-29,Elective,Abnormal,,Jimmy Rodriguez,English,,Karen.Anderson@gmail.com,Single,fatigue,"Craig Anderson (father), Amy Anderson (mother)",
22,Brandon Hamilton,22,2621503218,Male,1999-03-23,+1331-202-9540,461-24-4787,Ebony Strong,"314 Martin Ways North Thomasshire, RI 15913","3313 Jack Circle Suite 430 Woodsmouth, DE 07173",HPB-57307,2022-01-09,Urgent,Abnormal,#704880,Christopher Contreras,English,,Brandon.Hamilton@gmx.com,Single,"Joint pain, stiffness, swelling",David Roberts (friend),2022-01-10
23,Sara Jackson,23,7970495578,Female,1948-01-19,+1865-739-1166,803-97-3628,Jeffery Smith,"46582 Justin Pines Port Amy, WA 77376","PSC 6889, Box 7944 APO AP 70062",HPB-62345,2020-02-10,Urgent,Inconclusive,#452359,David Lewis,English,,Sara.Jackson@gmail.com,Single,"fever, fatigue and difficulty breathing",Paul Murray (fiancee),2020-02-25
24,Toni Harvey,24,2334160324,Female,1988-01-07,+1310-123-4080,179-13-8897,Mark Martin,Unit 0160 Box 3534 DPO AP 07768,"9339 Theresa Avenue Apt. 956 East Abigail, MH 22133",HPB-11056,2021-04-22,Elective,Inconclusive,#199887,Reginald Bentley,English,,Toni.Harvey@web.com,Single,"Fatigue, jaundice, abdominal pain, nausea, vomiting",Lori Garza (girlfriend),2021-05-18
25,Justin Bond,25,5238281131,Male,1948-01-09,+1979-461-2647,903-63-3050,Angela Roth,"1125 Lauren Brook Suite 031 New Amyborough, DC 41271","2077 Tamara Pines New Danmouth, UT 28466",HPB-24460,2022-10-05,Emergency,Abnormal,#145503,Bryan Morse,English,,Justin.Bond@gmail.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Sabrina Williams (fiancee),2022-10-29
26,Sara Jackson,26,7970495578,Female,1948-01-19,+1865-739-1166,803-97-3628,Stephanie Mcpherson,"1355 Matthew Ridge Jasonfurt, SD 09709",USS Taylor FPO AP 16132,HPB-62345,2023-05-12,Elective,Abnormal,#336722,Heather Collins,English,,Sara.Jackson@gmail.com,Single,"fever, cough and fatigue",Crystal Carpenter (girlfriend),2023-05-24
27,Ashley Munoz,27,6682909438,Female,1946-01-22,+1440-285-2692,311-82-5444,Paul West,"83869 David Isle Suite 607 East Bryan, NV 85632","364 Erica Station South Ravenland, UT 91036",HPB-49400,2022-01-01,Urgent,Inconclusive,#980160,Tiffany Howell,English,,Ashley.Munoz@yahoo.com,Single,"fever, cough and fatigue",Brandi Ruiz (fiancee),2022-01-07
28,Tracy Yates,28,6054067020,Female,1945-11-01,+1949-712-6422,285-83-8179,Brooke Blackwell,"545 Matthew Haven Michaelton, DE 84980","01577 Johnson Pine Suite 202 South Jimmy, ID 60179",HPB-59335,2023-11-19,Elective,Inconclusive,#407502,Richard Brady,English,,Tracy.Yates@yahoo.com,Single,"High fever, body aches, fatigue, cough, sore throat, congestion",Keith Hall (fiancee),2023-12-10
29,Tara Berg,29,1142313671,Female,1970-07-21,+1731-235-4464,791-59-2963,John Davis,"3363 Melton Lake Hopkinsside, UT 00667","773 Katelyn Locks Suite 395 Feliciaport, AK 09480",HPB-26375,2019-06-08,Emergency,Abnormal,#787428,William Parker,English,,Tara.Berg@aol.com,Married,cough,Ashley Wagner (fiancee),2019-06-19
30,Erin Smith,30,9780138953,Female,1970-04-08,+1269-185-3376,810-95-6601,Nicole Cherry,"5091 Darren Cape Derekberg, AS 76450","47264 Wallace Plain Jimmyland, FL 67324",HPB-91843,2021-09-27,Emergency,Abnormal,#676804,Julia Clark,English,Spanish,Erin.Smith@aol.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Tammy Ewing (girlfriend),2021-10-05
31,Janice Campbell,31,7046928693,Female,1984-03-24,+1805-588-2744,591-61-7251,Alan Lawrence,"852 Anderson Crossing South Jamesburgh, MO 17482","2086 Anderson Field Apt. 677 Smithland, UT 31929",HPB-44195,2023-08-08,Elective,Abnormal,#507682,Crystal Villegas,English,,Janice.Campbell@gmail.com,Divorced,"Red, scaly patches on the skin, itching",Jeffrey Acosta (friend),2023-08-24
32,Michelle Mendoza,32,8347979133,Female,2025-01-05,+1609-427-8962,242-35-8086,Justin Scott,"693 Arroyo Glen Suite 746 Walshshire, TN 27034","843 James Crest Williamsside, NV 16633",HPB-14507,2025-06-17,Urgent,Normal,,Jennifer May,English,,Michelle.Mendoza@yahoo.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Joseph Mendoza (father), Matthew Mendoza (mother)",
33,Christy Gonzalez,33,5705563507,Female,2024-03-01,+1629-143-3943,934-82-8862,Matthew Neal Jr.,Unit 3790 Box 9526 DPO AA 46725,"71978 Salinas Rue Suite 288 New Peter, WI 34991",HPB-10112,2025-05-08,Elective,Inconclusive,,Andrea Allen,Arabic,English,Christy.Gonzalez@yahoo.com,Single,High blood pressure without proteinuria (preeclampsia),"Emily Gonzalez (father), Nicholas Gonzalez (mother)",
34,Andrew Massey,34,6626909941,Male,1987-03-29,+1419-206-6575,586-99-9961,Scott Peck,"854 Holly Orchard Suite 155 Davidbury, FM 44337","61118 Teresa Fall Turnerland, KY 78042",HPB-67004,2022-12-05,Elective,Normal,#770010,Ms. Jennifer Conley,English,,Andrew.Massey@gmx.com,Widowed,"fever, cough and fatigue",Gregory Smith (friend),2022-12-23
35,Robyn Buck,35,7666309294,Female,1995-08-18,+1414-360-1058,101-62-6570,Jackie Pierce,"033 Danielle Unions South Eric, RI 89186","041 Horn Isle Johnsonberg, DC 52981",HPB-55735,2023-08-27,Emergency,Normal,#584357,Nicholas Lee,English,,Robyn.Buck@yahoo.com,Single,fatigue,Kathy Bell (fiancee),2023-09-25
36,John Lewis,36,4461903842,Male,1956-02-28,+1917-249-7886,869-84-7205,Keith Ware,"509 Howell Ferry Suite 661 Port Molly, DE 90832","4583 Tammy Motorway Harmonhaven, WA 68887",HPB-41880,2019-07-16,Elective,Abnormal,#855903,Robert Jackson,English,,John.Lewis@gmail.com,Single,"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance",Kevin Salas (girlfriend),2019-07-18
37,Jacob Mckinney,37,2190320182,Male,1946-03-01,+1412-593-3329,524-18-7817,Kelly Bell,"764 Mckinney Spring Apt. 981 West Timothyside, MA 12511","884 Carter Knolls Apt. 409 Theresaborough, PR 99908",HPB-72123,2023-02-04,Elective,Abnormal,#313666,Jason Bell,English,,Jacob.Mckinney@gmx.com,Married,"Progressive muscle weakness and degeneration, difficulty walking or moving, muscle wasting",Carl Grant (girlfriend),2023-02-27
38,Natalie Johnson,38,3174655311,Female,1975-03-17,+1623-674-4164,509-54-1030,Matthew Jacobs,"82834 Krystal Highway North Jennifer, NY 10257","437 Robles Roads Suite 445 Yatesbury, NJ 61443",HPB-51701,2024-01-08,Urgent,Abnormal,#651017,Tyler Harrison,English,,Natalie.Johnson@aol.com,Single,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Carlos Barnes (friend),2024-01-29
39,Margaret Walton,39,5689624571,Female,1964-12-06,+1903-356-5321,245-86-6819,Justin Jones,"025 Richardson Drives Apt. 876 Paulmouth, DC 18485","30691 Timothy Greens Apt. 639 Sanchezchester, CT 70199",HPB-43194,2022-09-04,Emergency,Inconclusive,#147839,Haley Nash,English,Chinese,Margaret.Walton@gmx.com,Married,"Fatigue, weakness, pale skin",Juan Anderson (girlfriend),2022-09-15
40,Lance Christensen,40,6629645735,Male,1951-02-11,+1612-257-5929,587-26-1290,Crystal Martin,"04154 Casey Drive Suite 546 New Angelaville, NY 68792","9950 William Mountain Suite 732 North Jacob, PW 48020",HPB-39303,2021-12-23,Elective,Inconclusive,#378965,Jesse Jones,English,,Lance.Christensen@brown.com,Single,fever,James Reyes (fiancee),2022-01-08
41,Adrienne Lopez,41,2677234061,Female,1979-02-09,+1254-163-8310,437-33-1006,Rachael Brown,"537 Reese Estates Dixonchester, CA 65286","29214 Wanda Junction Apt. 356 Port Paul, AR 26604",HPB-24884,2023-10-15,Elective,Inconclusive,#338116,Jennifer Williams,English,,Adrienne.Lopez@dhl.com,Married,"Abdominal pain, high blood pressure, kidney cysts",Christopher Kim (friend),2023-11-09
42,Melissa Morris,42,9488473946,Female,1951-01-26,+1919-848-9527,346-69-1231,Sarah Stanley,"3873 Newton Centers Melissaside, AK 71059","740 Savannah Mall Apt. 974 Christopherton, ND 75186",HPB-41139,2023-08-23,Emergency,Inconclusive,#311495,Michael Arnold,English,,Melissa.Morris@web.com,Single,"Joint pain, stiffness, swelling, fatigue, loss of appetite",Cassidy Hughes (fiancee),2023-09-15
43,Charles Davis,43,1596759386,Male,1945-01-04,+1954-703-9240,124-48-3978,Courtney Morris,"61421 Julie Estate Apt. 876 Leeton, MA 58672","5050 Bentley Crescent Apt. 730 East Angela, VT 60168",HPB-53974,2021-07-02,Elective,Normal,#279951,Cheryl Scott,English,,Charles.Davis@yahoo.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Anthony Castillo (girlfriend),2021-07-22
44,Cory Cook,44,8934683251,Male,1956-09-04,+1808-317-6389,386-18-7439,Christopher Johnson,"32620 Alice Lock Thompsonstad, IN 62785","26306 John Summit Burnettview, GA 33749",HPB-77418,2019-06-22,Urgent,Inconclusive,#750710,John Miller,Spanish,English,Cory.Cook@gmail.com,Married,"Joint pain, swelling, stiffness, limited range of motion, fever, rash",Steven Evans (girlfriend),2019-06-24
45,Terry Smith,45,3325909773,Male,1980-07-14,+1463-381-4949,167-76-1976,Andre Holt,"46423 Diana Flats Suite 488 Port Robert, MS 86373","992 Mary Course Apt. 291 Gutierrezview, CT 64185",HPB-67203,2024-04-11,Urgent,Normal,#699736,Steven Guzman,English,,Terry.Smith@dhl.com,Married,fatigue,John Spencer (girlfriend),2024-05-02
46,Arthur Dalton,46,9350881959,Male,1975-01-15,+1704-676-1156,371-26-3111,Richard Jimenez,"31819 Cohen Ports Apt. 946 Taraville, AZ 79827","0730 Timothy Way Suite 231 North Erica, NH 00645",HPB-32142,2019-12-05,Emergency,Abnormal,#935156,Carl Hill,English,,Arthur.Dalton@yahoo.com,Single,"Persistent cough with yellow or green mucus, chest congestion, fatigue",Michael Davis (friend),2019-12-15
47,Hannah Villegas,47,1059563666,Female,1942-01-03,+1314-547-1734,889-61-8887,Kenneth Morrow,"55464 Singh Cove Apt. 438 Petermouth, NM 10197","29996 Amanda Station Pittsbury, TX 73499",HPB-87109,2021-03-27,Elective,Inconclusive,#318570,Carolyn Burch,English,,Hannah.Villegas@web.com,Divorced,fatigue,Ryan Brennan (girlfriend),2021-04-24
48,Brenda Morris,48,5788825617,Female,2001-04-30,+1210-131-7765,867-20-1914,Susan Ball,"1101 Tyler Mill Apt. 694 East Kaitlynmouth, SC 40474","14674 Bradley View New Daniel, AL 42812",HPB-24663,2020-03-03,Urgent,Normal,#140392,Andrew Munoz,English,,Brenda.Morris@aol.com,Single,"High fever, body aches, fatigue, cough, sore throat, congestion","Christopher Morris (father), Timothy Morris (mother)",2020-03-20
49,Juan Larson,49,5334738032,Male,1973-01-02,+1531-556-4372,758-22-2845,Kathryn Owen,"4313 Margaret Fork Suite 164 Lake Joseph, MI 92127","497 Valerie Village Suite 828 Walkerfurt, HI 18376",HPB-91318,2023-11-30,Elective,Inconclusive,#830531,Jennifer Smith,English,,Juan.Larson@gmx.com,Single,"Joint pain, swelling, stiffness, limited range of motion, fever, rash",Nicole Carrillo (girlfriend),2023-12-11
50,Ruth Brown,50,9917138372,Female,1986-02-18,+1309-524-7489,692-57-3897,Dominique Fuller,"48350 Jessica Course Suite 567 South Brookeberg, OK 92668","252 Wyatt Ports East Johnathanborough, KS 72734",HPB-18424,2021-01-03,Emergency,Inconclusive,#936553,Robert Davis,English,,Ruth.Brown@gmx.com,Single,"Red, scaly patches on the skin, itching",Kyle Gonzalez (friend),2021-01-10
51,Alicia Velasquez,51,4817526263,Female,1973-03-06,+1540-436-1726,939-50-3040,Nicholas Carter,"51687 Patel Circle Suite 974 Wrightstad, DE 60286","062 Oneill Stravenue Bryantborough, WA 10391",HPB-91880,2022-03-22,Urgent,Abnormal,#471955,Dylan Porter,English,,Alicia.Velasquez@brown.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Allison Coleman (friend),2022-04-11
52,Cameron Barber,52,9947290681,Male,1972-09-28,+1442-910-5586,604-36-2182,Paige Spencer,"70403 Kimberly Inlet Suite 392 Michaelshire, FM 24221","29103 Taylor Junction South Sherylton, UT 13564",HPB-39707,2022-06-24,Emergency,Inconclusive,#383135,Emily Larson,English,,Cameron.Barber@gmx.com,Married,fatigue,Gregory Hernandez (girlfriend),2022-07-01
53,Tiffany Ortiz,53,5050873247,Female,1956-01-09,+1470-510-1694,633-65-1399,Tammy Lee,"852 Aaron Greens Antonioport, VT 28283","20140 Ramirez Rest Harrischester, WY 49595",HPB-24715,2021-01-08,Urgent,Abnormal,#374051,Teresa Allen,English,,Tiffany.Ortiz@gmx.com,Single,fatigue,Samantha Velez (fiancee),2021-01-27
54,Jonathan Reynolds,54,7456365465,Male,1984-07-01,+1309-791-5036,616-93-8349,Gary Berry,"82829 Stephen Ports Edwardsbury, ND 03540","458 Kristin Corner Banksfort, OK 66166",HPB-47263,2021-10-03,Urgent,Inconclusive,#891223,Sean Vaughn,English,,Jonathan.Reynolds@gmx.com,Single,"Itchy, red, inflamed skin, rash",John Ramos (girlfriend),2021-10-07
55,Dwayne Andrews,55,7940748781,Male,1937-04-05,+1857-547-5774,181-51-1625,Ronald Valdez,"01702 Carol Track Suite 658 East Jacquelinechester, VA 32323","24115 Paula Trace Port Victoria, CO 01611",HPB-15908,2021-04-03,Emergency,Normal,#682648,April Williams,English,,Dwayne.Andrews@web.com,Divorced,"Fatigue, Increased hunger, Slow healing of wounds",Natasha Gibson (fiancee),2021-05-03
56,Tina Johnson,56,4095358612,Female,1976-09-01,+1936-789-4460,755-29-5708,Rebecca Dunn,"460 Schmitt Lakes North Melissaburgh, MN 34733","237 Lopez Shoals Apt. 111 Kevinmouth, NM 63967",HPB-19687,2022-05-14,Elective,Normal,#743887,Maria Lewis MD,English,Arabic,Tina.Johnson@gmail.com,Single,"Painful urination, frequent urination, pelvic pain, cloudy urine",Paul Bauer (fiancee),2022-06-11
57,Christina Martinez,57,1290056412,Female,2004-03-15,+1305-205-8606,570-53-9928,James Salinas,"84646 Mary Roads Richardfurt, VI 80838","24263 Kennedy Valley East Jennifer, MD 54620",HPB-92618,2024-02-05,Emergency,Abnormal,#880669,Shelby Curry,English,,Christina.Martinez@yahoo.com,Single,"Fragile bones, loss of height over time, back pain, fractures","Robin Martinez (father), Lucas Martinez (mother)",2024-02-12
58,Karen Potts,58,4101845206,Female,1971-01-04,+1513-865-2346,305-55-7378,Sarah Roberts,"3348 Thomas Crest Apt. 055 Port Michaelfurt, UT 78701","1960 Pineda Shores Johnsonfort, AR 79725",HPB-84216,2022-10-12,Emergency,Abnormal,#970422,Jason Thompson,English,,Karen.Potts@aol.com,Single,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting",Jennifer Johnson (girlfriend),2022-10-27
59,Ruben Carroll,59,9790280852,Male,1947-02-15,+1816-215-4590,717-23-4369,Jamie Diaz,"PSC 6864, Box 0183 APO AP 33583","860 Darrell Ranch Apt. 215 Micheleland, PR 76286",HPB-75798,2020-01-08,Urgent,Abnormal,#528258,Tyler Browning,English,,Ruben.Carroll@gmail.com,Single,"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance",Bryan Jacobson (girlfriend),2020-01-18
60,Matthew May,60,4304951889,Male,1985-03-24,+1732-686-7557,180-30-8768,Joshua Vargas,"PSC 9632, Box 4646 APO AE 48659","19624 Thomas Green Suite 860 Scottland, OR 30118",HPB-24325,2019-08-04,Urgent,Inconclusive,#927576,Carolyn Williams,English,,Matthew.May@yahoo.com,Divorced,"Frequent urination, Increased thirst, Weight loss",Andrew Bradley (fiancee),2019-08-30
61,Sheila Scott,61,1563345133,Female,2002-07-19,+1520-112-2567,809-77-6196,Taylor Bond,"282 Lisa Wells Teresahaven, WY 35387","7117 Jason Light Suite 436 South Benjamin, CT 62538",HPB-68426,2023-04-25,Emergency,Normal,#752675,Melissa James,English,,Sheila.Scott@yahoo.com,Married,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby","Lisa Scott (father), Anna Scott (mother)",2023-05-15
62,Judy Carter,62,5092951353,Female,1940-02-22,+1407-133-2416,740-31-6621,Amy Williams,"9329 Emily Fort Suite 674 New Chelsea, FM 76299","920 Roger Stream Apt. 719 Brownburgh, OR 22121",HPB-91859,2023-07-23,Urgent,Abnormal,#846672,Ms. Alyssa Miller DDS,English,,Judy.Carter@web.com,Single,fatigue,Katrina Gordon (girlfriend),2023-07-24
63,Douglas Smith,63,2232871356,Male,2007-05-28,+1209-426-8779,628-24-2008,Lawrence Giles,"2941 Petersen Roads North Nathan, MA 58584","96407 Hill Glens Apt. 628 West Aprilton, TN 23705",HPB-32626,2022-03-22,Elective,Normal,#315996,Tiffany Nichols,German,English,Douglas.Smith@yahoo.com,Married,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Anita Smith (father), Christina Smith (mother)",2022-04-08
64,Alexandra Casey,64,7183495065,Female,1952-01-15,+1629-595-6915,224-43-8137,Benjamin Allen Jr.,USNV Williams FPO AP 62729,"876 Edward Ridges Suite 010 Priceton, NJ 47389",HPB-78520,2019-09-09,Urgent,Inconclusive,#214712,John Clark,English,,Alexandra.Casey@gmail.com,Divorced,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Jennifer Jones (fiancee),2019-09-29
